gene,alias,gene_group,cell_type,pathway,tme_subtype,prognostic_significance,source_article,provenance,is_housekeeping
ATRX,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CCDC144B,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CHCHD10,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
DHRS9,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ELL3,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
GCHFR,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HLA-DQB1,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ID3,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
IFI30,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
N4BP2L2,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
NDUFA1,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
RGS13,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ROMO1,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
RPS26,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SELENOH,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SS18L2,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
VPREB3,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ZNF277,,holmes_INT_b,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CAMK1,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CD83,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
FCRL2,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
FCRL3,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
GMDS,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HLA-DQB1,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HOPX,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ICAM3,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
IMPDH2,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
LNPEP,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
MGEA5,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
NT5C3A,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PIP4K2A,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PNRC1,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
POU2F2,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
RGS10,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
RPS4Y1,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SIGLEC10,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
TRIM38,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ZBTB20,,holmes_INT_c,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ACP5,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ANXA6,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
BANK1,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CD180,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CD72,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CNN2,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
DDIT4,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
FAM26F,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
GPX1,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HLA-DRB6,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HVCN1,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
IFI30,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
IFNGR1,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
IGHM,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
LYL1,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PPP1R18,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PTPN6,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SIPA1,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SMIM14,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
TAGLN2,,holmes_INT_d,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CAMK1,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CD22,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CD53,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
DHRS9,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ERP44,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
FCRLA,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
GPR18,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HLA-DPB1,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HLA-DQB1,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HLA-DRB1,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HLA-DRB5,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
LMO2,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
LPP,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
MARCKSL1,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PAG1,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PLD4,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SCIMP,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SERPINA9,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SIAH2,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SMIM14,,holmes_INT_e,centrocyte (LZ),none,GC-like,mixed (INT-b/INT-e associate with the EZB genetic group),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
BCL2A1,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
BIK,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
BIRC3,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CD83,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
DHRS9,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
DUSP2,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ERP44,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
GMDS,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HOPX,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
IER2,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
ITGB2,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
JUNB,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
LMO2,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
NFKBIA,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PIM3,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PLEK,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PTPN6,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
REL,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
TRAF4,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
VASP,,holmes_LZ_a,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
BCL2A1,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
C1QBP,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
CD83,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
DDX21,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
DUSP2,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
EBI3,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
EIF5A,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
EIF5AL1,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
FABP5,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
GMDS,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HSPD1,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HSPE1,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
LDHA,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
NME1,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PPAN,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PSME2,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
RANBP1,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
RPL22L1,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SMS,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SRM,,holmes_LZ_b,centrocyte (LZ),NF-kB,GC-like,favourable (PFS; late-LZ/INT Group IV best PFS),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
DNAJB9,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
FKBP11,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
HSP90B1,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
JCHAIN,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
MANF,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
MYDGF,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
MZB1,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
P4HB,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PDIA4,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
PRDM1,BLIMP1,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
RASSF6,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SDF2L1,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SEC11C,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SELENOK,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SELENOS,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SSR3,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SSR4,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
SUB1,,holmes_PBL_a,plasma cell,none,none,mixed (Group V),"Holmes et al. 2020 J Exp Med 217(10):e20200483, PMC7537389",holmes_table_s2,False
